Comment_Text,Predicted_Label,True_Label,Variation
Tyler not quitting with a sprained ankle bro I would've tapped out in seconds emoji_face_with_steam_from_nose respect,0,2,var_1_all_preprocessing
She said she's donating half to her family I'm not crying YOU'RE crying emoji_loudly_crying_face emoji_red_heart emoji_unknown,0,2,var_1_all_preprocessing
Already subscribed and the bell is ON. Best channel on YouTube no cap emoji_raising_hands,1,2,var_1_all_preprocessing
The overnight maze rearrangement twist was CRAZY__ELONG__ I did not see that coming at all emoji_face_screaming_in_fear,0,2,var_1_all_preprocessing
That confrontation scene at 12 minutes was peak drama idc what anyone says emoji_face_with_steam_from_nose emoji_hundred_points,1,2,var_1_all_preprocessing
Jake hiding the supplies from everyone is genuinely one of the most selfish things I've ever seen emoji_face_with_steam_from_nose,2,0,var_1_all_preprocessing
Hour 90 was SO slow to watch. The pacing completely fell apart in the last third of the video emoji_face_with_open_mouth ‍ emoji_unknown,2,0,var_1_all_preprocessing
Hour 12 and the first elimination already. Didn't expect the challenge to move this fast tbh,2,1,var_1_all_preprocessing
10:28 that's diabolical!! Still not sure if I'm on Jake's side or not after that scene,2,1,var_1_all_preprocessing
Five people at hour 36. That's actually a faster attrition rate than I expected for a 100-hour challenge.,0,1,var_1_all_preprocessing
Jake's cache being raided — not sure whether to feel bad for him or not given what he did earlier,0,1,var_1_all_preprocessing
Jake losing his mapped progress after the rearrangement basically sealed his fate from that point.,0,1,var_1_all_preprocessing
He kept going with the injury. Whether that was brave or just risky depends on how you look at it.,2,1,var_1_all_preprocessing
Jake's run deeper into the maze at hour 90 — giving up strategy or genuinely lost? Hard to tell.,0,1,var_1_all_preprocessing
"91 hours and 14 minutes. Out of 100, that's cutting it closer than you'd think for a winner.",0,1,var_1_all_preprocessing
Priya won. Donating half to her family. That's one way to use it — plenty of other valid choices too.,2,1,var_1_all_preprocessing
"Three football fields. That's roughly 27,0__ELONG__ square feet of maze. Pretty significant scale honestly.",0,1,var_1_all_preprocessing
No phones and no GPS in a maze that size for 100 hours. Reasonable rules for the challenge format.,0,1,var_1_all_preprocessing
First time watching this channel. Decent production. Will probably watch another video before forming an opinion.,2,1,var_1_all_preprocessing
This is nice I guess,2,1,var_1_all_preprocessing
fr hour 50 and three people fr left. the math was starting to look inevitable emoji_flexed_biceps and i stand by that,1,2,var_1_all_preprocessing
honestly even the early eliminations were handled well. marcus leaving was emotional but not exploitative fr fr,1,2,var_1_all_preprocessing
can we please talk about actually the camera kept cutting away from priya's map during the most interesting moments. infuriating edit full stop,1,0,var_1_all_preprocessing
Jake deserved some compensation after the rearrangement! honestly,2,0,var_1_all_preprocessing
not gonna lie i think about tyler every time i feel like giving up on something hard. that ankle emoji_hundred_points,1,2,var_1_all_preprocessing
not gonna lie tHE TWIST emoji_exploding_head no cap,0,2,var_1_all_preprocessing
fr fr the scale of this maze is genuinely hard to comprehend emoji_loudly_crying_face emoji_loudly_crying_face emoji_fire fr,0,2,var_1_all_preprocessing
fwiw this is nice I guess — curious about this,2,1,var_1_all_preprocessing
getting bored of this format tbh smh,2,0,var_1_all_preprocessing
marcus got very little screen time before the elimination. was there more footage that didn't make the cut,0,1,var_1_all_preprocessing
twist emoji_exploding_head fr,1,2,var_1_all_preprocessing
jake vs the new maze was genuinely sad but also very funny emoji_face_with_tears_of_joy,1,2,var_1_all_preprocessing
best twist of any challenge video i've seen all year no cap,0,2,var_1_all_preprocessing
i can't believe 2 million applications for 10 spots. the casting pressure must be enormous and they nailed it full stop,0,2,var_1_all_preprocessing
the budget went into the maze but not into contestant welfare protocols apparently,1,0,var_1_all_preprocessing
honestly jake getting raided in his sleep is one of the great ironic moments in challenge history no cap,0,2,var_1_all_preprocessing
changing the maze is just the producers deciding who wins based on who got lucky with their prep tbh,1,0,var_1_all_preprocessing
lowkey tyler go off emoji_flexed_biceps and i stand by that,1,2,var_1_all_preprocessing
like the dan-sofia conflict was resolved so quickly and neatly that it clearly served the edit rather than the competition. in a real isolated environment that conflict would have had lasting consequences. this one lasted exactly long enough to fill a dramatic beat emoji_disappointed_face imo,1,0,var_1_all_preprocessing
genuinely question whether any of this is as unscripted as it's presented to be tbh,1,0,var_1_all_preprocessing
i can't believe pRIYA saying she'll donate half.__ELONG__ that's what this kind of money should do ngl,0,2,var_1_all_preprocessing
"the selection ratio is 200,0__ELONG__ to 1. the screening process is a significant part of the story — just an observation",0,1,var_1_all_preprocessing
jake's cache strategy was rational within the rules as he understood them. whether the rules allowed for it seems ambiguous,0,1,var_1_all_preprocessing
fwiw jake losing his mapped progress after the rearrangement basically sealed his fate from that point. emoji_face_with_monocle imo,0,1,var_1_all_preprocessing
not gonna lie tHE TWIST emoji_exploding_head no cap,0,2,var_1_all_preprocessing
fr fr the scale of this maze is genuinely hard to comprehend emoji_loudly_crying_face emoji_loudly_crying_face emoji_fire fr,0,2,var_1_all_preprocessing
other channels attempt this format but this is the gold standard — tyler walking on that ankle for hours just to not quit emoji_face_with_steam_from_nose emoji_blue_heart,1,2,var_1_all_preprocessing
can we all agree that i can't believe jake's early game was legitimately impressive even if it fell apart later! emoji_hundred_points,0,2,var_1_all_preprocessing
i can't believe 50k for second place is so generous honestly. TYLER set for a while,0,2,var_1_all_preprocessing
,,,
Tyler not quitting with a sprained ankle bro I would've tapped out in seconds 😤 respect,0,2,var_2_normalising_casing_space
She said she's donating half to her family I'm not crying YOU'RE crying 😭❤️,0,2,var_2_normalising_casing_space
Three people left and I was on the edge of my seat the whole time 🔥🔥 goated video,0,2,var_2_normalising_casing_space
That confrontation scene at 12 minutes was peak drama idc what anyone says 😤💯,1,2,var_2_normalising_casing_space
Hour 90 was SO slow to watch. The pacing completely fell apart in the last third of the video 😮‍💨,2,0,var_2_normalising_casing_space
Hour 12 and the first elimination already. Didn't expect the challenge to move this fast tbh,2,1,var_2_normalising_casing_space
10:28 that's diabolical!! Still not sure if I'm on Jake's side or not after that scene,2,1,var_2_normalising_casing_space
Five people at hour 36. That's actually a faster attrition rate than I expected for a 100-hour challenge.,0,1,var_2_normalising_casing_space
Jake's cache being raided — not sure whether to feel bad for him or not given what he did earlier,0,1,var_2_normalising_casing_space
Jake losing his mapped progress after the rearrangement basically sealed his fate from that point.,0,1,var_2_normalising_casing_space
He kept going with the injury. Whether that was brave or just risky depends on how you look at it.,0,1,var_2_normalising_casing_space
