comment_id,video_id,video_title,timestamp,comment,sentiment,sarcasm_flag,confidence_level,augmentation_technique
3057,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:07:20,"working in sports medicine, i hate to say it but marcus story felt exploitative. show him struggling then cut away. not greattt honestly",0,False,medium,perspective_shift
9091,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:14:15,"look, camera missed the map 😤 full stop",0,False,medium,original
1021,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:03:10,future contestants should know: not gonna lie alliances forming in the literal first three minutes means the casting was deliberately adversarial full stop,0,False,medium,direct_address
838,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,"having followed this channel for years, the fact that the rules could just be changed overnight by producers makes the whole thing feel meaningless 😑",0,False,medium,perspective_shift
2017,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:01:45,i hate to say it but contestants shouldn't have to figure out survival basics in a controlled production environment,0,False,medium,original
2835,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:33:20,a sprained ankle in a navigation challenge is a realllll safety concern and they treated it like a plot point smh,0,False,medium,original
9433,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:05:00,the show rewarded JAKE's selfish behavior early on which set a bad tone and that's just facts — this channel needs to do better 😡,0,False,medium,intensity_scaling
3986,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,ngl moving the maze was cheating. period. 😤 i said what i said,0,False,medium,original
6955,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:12:00,not gonna lie that argument was too aggressive and that's just facts,0,False,medium,original
2013,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:44:30,50k for second is not enough 😒 ngl,0,False,medium,register_slang
2438,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:44:30,honestly second place in this challenge was nearly as hard as winning and the prize didn't reflect that ngl,0,False,medium,original
1096,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:00:00,other formats let you follow all contestants properly. this one abandoned half of them — i've been watching this channel since early on and this video confirms that the format has plateaued. bigger budget doesn't mean better storytelling. the emotional beats are predictable now. the alliances. the drama. the winner reveal. all expected.,0,False,medium,comparative_framing
9153,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:12:00,the confrontation felt staged to create drama. the timing was too convenient 😕 ngl,0,True,medium,original
5457,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:05:00,this really bothered me — not gonna lie jake hoarding supplies when people could have been in danger is not a strategy it's just selfish and that's just facts,0,False,medium,intensity_scaling
9944,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:38:00,"as a psychologist watching this, real talk the last 20 minutes dragged. needed tighter editing imo",0,False,medium,perspective_shift
8778,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,moving the maze while contestants sleep is manipulation not a challenge,0,False,high,original
436,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:40:20,jake's final hour was supposed to be dramatic and it was just kind of sad ngl,0,False,medium,original
4174,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:05:00,Jake's hoarding was selfish 😠 honestly,0,False,medium,original
2899,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:12:00,the argument scene was uncomfortable to watch and not in a good way tbh,0,False,medium,original
900,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:05:00,jake went from interesting player to villain the moment he started hoarding,0,False,medium,original
9564,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,can we please talk about ngl the fact that the rules could just be changed overnight by producers makes the whole thing feel meaningless,0,False,medium,direct_address
642,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:26:10,tbh the halfway recap was five minutes of content stretched to fifteen. that's padding! smh,0,False,medium,original
6758,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:08:45,honestly watching someone collapse and then just continuing the challenge is hard to watch honestly,0,False,medium,original
4601,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:07:20,i'm not sure about like the show moved on from marcus in like 30 seconds. he deserved better 😬 ngl,0,False,medium,intensity_scaling
6369,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:43:00,like the outcome was predictable from minute 14 honestly i said what i said,0,True,medium,original
6647,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:44:30,not gonna lie the prize gap is a content decision not a fair one!,0,False,medium,original
1659,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,the twist was entertaining for the audience but completely unfair to the contestants inside,0,False,high,original
2343,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:33:20,i'm sorry but tyler's injury was genuinely concerning and the show treated it as a hype moment. that's wrong,0,False,medium,original
9476,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:46:00,the bts segment deserved its own video not three rushed minutes at the end full stop,0,False,medium,original
370,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:31:00,honestly jAKE deserved some compensation after the rearrangement and it's a problem,0,False,medium,intensity_scaling
4801,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:01:45,jake — i'm sorry the prize structure failed you. no phones no gps in a pitch black maze for 100 hours. when does this stop being entertainment,0,False,medium,direct_address
5507,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:14:15,actually camera missed the map 😤,0,False,medium,original
182,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,marcus — you deserved better than what this show gave you. like cheating with a different name 😔 imo,0,False,medium,direct_address
5529,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:05:00,the cache being available to keep to yourself is a design flaw not a feature and that bothers me,0,False,medium,aspect_rotation
5866,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:23:50,the PRIYA-tyler alliance forming at the right time feels like it was nudged by producers. too convenient! i said what i said,0,True,medium,original
6863,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:00:00,genuinely the challenge format has become so predictable i knew every beat before it happened i said what i said,0,False,medium,original
730,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:16:40,genuinely the alliance drama being so perfectly timed makes me question how much of this is actually unscripted 🙄,0,False,medium,original
9235,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:44:30,real talk 50k for second is not enough 😒 ngl,0,False,medium,original
6399,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:10:28,"as a former contestant on a different show, the 10:28 moment was the most uncomfortable part of this video for me i said what i said",0,False,medium,perspective_shift
3649,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,i'm sorry but calling a producer intervention a twist is just rebranding cheating i said what i said,0,False,medium,original
76,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:45:10,i need someone to explain to me why honestly jake joking about coming third is what he had to do on camera. the actual outcome for him was genuinely unfair!,0,False,medium,direct_address
8694,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,the rearrangement punished preparation and rewarded luck. that's bad game design tbh,0,False,medium,original
444,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:03:10,not gonna lie alliances forming in the literal first three minutes means the casting was deliberately adversarial full stop and i'm genuinely frustrated 😤,0,False,medium,intensity_scaling
1707,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:21:30,the raid on jake's cache is entertaining but it also reset the survival resources unfairly and it's a problem,0,False,medium,aspect_rotation
3972,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:46:00,genuinely the bts footage at the end was rushed. five minutes at the end doesn't do it justice honestly,0,False,medium,original
6632,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:01:02,the show picked contestants who would conflict with each other. that's manufacturing drama not running a competition honestly,0,False,medium,original
6778,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:43:00,tbh the outcome was predictable from minute 14 honestly imo,0,True,medium,original
6889,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:00:00,tbh the challenge format has become so predictable i knew every beat before it happened full stop,0,False,medium,original
8955,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:33:20,i'm not sure about the fact tyler even had to debate whether to keep going with an injury is a failure of the show's duty of care,0,False,medium,intensity_scaling
186,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:08:45,other shows handle contestant injuries with more care than this — honestly watching someone collapse and then just continuing the challenge is hard to watch i said what i said,0,False,medium,comparative_framing
6757,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:07:20,real talk the marcus segment was uncomfortable and not in an entertaining way!,0,False,medium,original
9942,vid_mb_001,"I Survived 100 Hours in a Giant Maze for $500,000",00:28:30,what's the point of having a strategy if the game just changes while you sleep,0,False,high,original
