comment_index,comment,true_label,predicted_label
46,Good for Priya but the whole challenge was so clearly edited to make her look like the hero from the start,negative,positive
65,10:28 that's diabolical!! Still not sure if I'm on Jake's side or not after that scene,neutral,negative
69,Jake's cache being raided — not sure whether to feel bad for him or not given what he did earlier,neutral,negative
73,Jake losing his mapped progress after the rearrangement basically sealed his fate from that point.,neutral,negative
75,He kept going with the injury. Whether that was brave or just risky depends on how you look at it.,neutral,negative
79,Priya won. Donating half to her family. That's one way to use it — plenty of other valid choices too.,neutral,negative
81,Jake finishing third and joking about it — could read as chill about it or just camera behavior.,neutral,negative
82,The behind the scenes construction footage was a nice addition. Doesn't change my view of the challenge itself.,neutral,positive
85,The confrontation between Jake and the group — both sides had valid points depending on how you frame the rules.,neutral,negative
97,honestly even the early eliminations were handled well. marcus leaving was emotional but not exploitative fr fr,positive,negative
132,marcus got very little screen time before the elimination. was there more footage that didn't make the cut,neutral,negative
213,i can't believe pRIYA saying she'll donate half... that's what this kind of money should do ngl,positive,negative
218,The interesting variable here is that by hour 50 with three people left the challenge should have been more intense than it was. the editing let it breathe too much,negative,neutral
233,fwiw jake losing his mapped progress after the rearrangement basically sealed his fate from that point. 🧐 imo,neutral,negative
250,Good for Priya but the whole challenge was so clearly edited to make her look like the hero from the start,negative,positive
