Variation,Embedding,Classifier,True_Label,Predicted_Label,Comment_Text
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,0,Priya mapping the maze on cardboard?? That's actual genius ngl emoji_brain emoji_fire
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,0,Tyler not quitting with a sprained ankle bro I would've tapped out in seconds emoji_face_with_steam_from_nose respect
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,1,Priya and Tyler teaming up was the best plot twist of the whole thing emoji_smiling_face_with_hearteyes
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,1,Jake finding that supply cache was such a smart move early on I was rooting for him ngl
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,1,The overnight maze rearrangement twist was CRAZY__ELONG__ I did not see that coming at all emoji_face_screaming_in_fear
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,1,When she was two sections away from the exit my heart was pounding so hard omg
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,1,The behind the scenes construction footage is incredible they really built that thing emoji_fire emoji_fire
var_1_all_preprocessing,TFIDF,Naive_Bayes,2,0,Jake joking about finishing third with no prize is so funny he's actually a good sport lmaoo emoji_rolling_on_the_floor_laughing
var_1_all_preprocessing,TFIDF,Naive_Bayes,0,2,"That argument at 12 mins was so unnecessarily aggressive, ruined the vibe of the whole video ngl"
var_1_all_preprocessing,TFIDF,Naive_Bayes,0,2,Dan and Sofia's alliance falling apart felt so forced and scripted I'm not buying it at all emoji_unamused_face
var_1_all_preprocessing,TFIDF,Naive_Bayes,0,2,"Changing the maze while people sleep is just cruel, not entertaining. Lost a lot of respect here."
var_1_all_preprocessing,TFIDF,Naive_Bayes,0,2,500k prize for this? The production costs must be insane and it shows in the ticket prices they charge fans
var_1_all_preprocessing,TFIDF,Naive_Bayes,0,1,Tyler getting hurt and them just continuing the challenge is so irresponsible emoji_enraged_face he could've been seriously injured
var_1_all_preprocessing,TFIDF,Naive_Bayes,0,2,"2 million applicants and the casting still felt super unbalanced, most of them were gone by hour 12 lol"
